,a,n,x,y,z,label
40,0.5,1,"(7.853392533569268, 3.72182619516308)",1,2.7395636026090084,train
41,0.5,1,"(-13.72028199012084, -1.1418269514280348)",0,-1.1327874150841113,train
42,0.5,1,"(6.954614850205479, -0.6765760321926557)",0,-0.6675206571085667,train
43,0.5,1,"(15.98060070286722, -0.16847786415112115)",0,-0.19387139392507663,train
44,0.5,1,"(-0.7238189096372397, 2.405219614193994)",1,1.4096476720878457,train
45,0.5,1,"(4.142444432167434, 0.8926366555996312)",1,-0.11505361590274432,train
46,0.5,1,"(8.383657721522951, -2.4792587404636985)",0,-2.4828948179529786,train
47,0.5,1,"(11.032765022938225, 0.8254598594782099)",1,-0.18338830005247797,train
48,0.5,1,"(0.6340593557358176, 0.7957404018248472)",0,0.7983365775488633,train
49,0.5,1,"(5.179011759401081, -0.5077047695988254)",0,-0.511795679350392,train
50,0.5,1,"(1.5102164424060003, 1.6494149661445523)",1,0.6527851083560376,train
51,0.5,1,"(8.420298626327524, 0.4134873123629718)",1,-0.5804296786572027,train
52,0.5,1,"(14.688001763080083, 1.3323430853649514)",1,0.33801656849517064,train
53,0.5,1,"(4.451793928848073, -1.0341375953623722)",0,-1.0337355525265548,train
54,0.5,1,"(9.884018417558073, 0.5369541248445199)",0,0.5424757333156827,train
55,0.5,1,"(-1.926246869701874, 0.8479536779803503)",1,-0.1417352108676906,train
56,0.5,1,"(9.135998430028698, -1.8568635319612266)",0,-1.8428724846471503,train
57,0.5,1,"(17.89959541351614, -0.03948756821667754)",0,-0.04638030863407755,train
58,0.5,1,"(6.142619119150764, 0.18816637047334644)",0,0.1825780335076005,train
59,0.5,1,"(10.068821128228553, 1.3088597902776518)",1,0.3066633142974874,train
60,0.5,1,"(-2.425316174589091, 0.41087228343446525)",1,-0.5912846038852342,train
61,0.5,1,"(13.004865957562007, 2.1496366096417865)",1,1.1456508862971981,train
62,0.5,1,"(-6.729539149122817, 0.8040790088977084)",1,-0.19184294970230475,train
63,0.5,1,"(7.169780843152769, 0.6337164195643131)",0,0.6415394822963272,train
64,0.5,1,"(11.820203636120711, 1.1800965057776982)",1,0.18246237431818274,train
65,0.5,1,"(9.24246673595362, 0.7525833270823628)",1,-0.2688030154224935,train
66,0.5,1,"(-9.464573084715418, -0.7782213336422055)",0,-0.7766692645967597,train
67,0.5,1,"(7.36644312668067, 0.1470398540330283)",0,0.15469916029317976,train
68,0.5,1,"(10.898120049089677, 1.7551368417078808)",1,0.7526637897757922,train
69,0.5,1,"(0.6533961296346711, 3.0606035588476512)",1,2.0680100004426283,train
70,0.5,1,"(5.439029299254036, 0.4067127100430027)",0,0.41757284594902233,train
71,0.5,1,"(12.371450227948861, 1.2691492961032993)",1,0.25962172138027256,train
72,0.5,1,"(1.7108096283261767, 0.3613243391216914)",0,0.37556784793073295,train
73,0.5,1,"(-10.150931367185628, 1.5470387322068657)",1,0.539662924498822,train
74,0.5,1,"(17.940361452310416, 0.03504277989424668)",0,0.03786927120864758,train
75,0.5,1,"(-6.644018305133489, 2.967225958225334)",1,1.964209776558412,train
76,0.5,1,"(14.87027891050785, 0.2063110439261282)",1,-0.7854592323176499,train
77,0.5,1,"(0.054964026453549586, -1.0590611252373916)",0,-1.054151281591898,train
78,0.5,1,"(5.196697882074764, -0.13378731027668977)",1,-1.1353818821832211,train
79,0.5,1,"(4.985289894119487, 2.5086486996451525)",1,1.5087530505554945,train
80,0.5,1,"(2.387439968972468, 1.1521377495802283)",1,0.13702075535007618,train
81,0.5,1,"(-2.284311698669126, -1.5224130522583263)",0,-1.5078824610851147,train
82,0.5,1,"(14.900127686586787, 0.4035739748924628)",0,0.3977234091328934,train
83,0.5,1,"(30.235322744339275, 1.113428469373174)",0,1.118832895744312,train
84,0.5,1,"(9.580926048722802, -1.722625077034927)",0,-1.7307543621373433,train
85,0.5,1,"(11.335128567621968, -0.39944205167091706)",1,-1.3948047212389048,train
86,0.5,1,"(2.4011797180345074, -0.10756009132413032)",1,-1.1017098681555557,train
87,0.5,1,"(3.339141513907265, 0.3132840742917015)",0,0.31286045612516733,train
88,0.5,1,"(2.9750345962286566, 2.350440272337086)",1,1.349980791692361,train
89,0.5,1,"(8.092796825950009, -1.544843717718208)",0,-1.537283846131022,train
90,0.5,1,"(16.21602932348601, -1.8838520623377168)",0,-1.8748345511327593,train
91,0.5,1,"(-5.711264938279973, 0.6570364051399381)",1,-0.34040301756292257,train
92,0.5,1,"(4.454889570387349, 1.0751565155541039)",1,0.07210766378027272,train
93,0.5,1,"(0.034894280723446025, 0.2446376667011858)",1,-0.7509570928121247,train
94,0.5,1,"(0.6567731209308404, 1.7852862863180359)",1,0.7685637804551186,train
95,0.5,1,"(8.53090071224669, 3.495326546708672)",1,2.5020430483384777,train
96,0.5,1,"(1.9808590480807924, 0.2516112684889417)",1,-0.7554638034854941,train
97,0.5,1,"(-8.363922386301025, 0.10400256351595275)",0,0.11269184677692567,train
98,0.5,1,"(0.42067183251221874, -0.9976950655850692)",1,-2.0079003103975164,train
99,0.5,1,"(15.84923667403253, -2.302796264760911)",0,-2.311679703741891,train
100,0.5,1,"(-14.703257246842206, -1.336863923806193)",0,-1.345393172610584,train
101,0.5,1,"(-1.6278006806707124, -0.5280365984603366)",1,-1.5401489093789529,train
102,0.5,1,"(-4.281050156302673, 0.9665794450788211)",1,-0.032950964493581036,train
103,0.5,1,"(-0.19535055067265317, -0.6483531094585536)",0,-0.6503928697533459,train
104,0.5,1,"(14.378630906348592, -0.8482591510833253)",0,-0.8522872577452378,train
105,0.5,1,"(-2.1987715237736114, -0.9049115328396599)",0,-0.9112960649809511,train
106,0.5,1,"(-0.2656863751833455, -0.3263870805380435)",0,-0.3174718081622915,train
107,0.5,1,"(-10.326881082635776, -1.2414798384125347)",0,-1.224483311075816,train
108,0.5,1,"(4.899058951288051, -0.20207078831356984)",0,-0.19765261921158178,train
109,0.5,1,"(-5.127821286741802, 1.44973609637205)",1,0.45606007584987385,train
110,0.5,1,"(2.65618365723361, 2.304194890378447)",1,1.3138464055678774,train
111,0.5,1,"(-10.273047970884084, 1.6264759550760703)",0,1.6299842137552658,train
112,0.5,1,"(-7.3621692363648386, -0.14058077470360325)",0,-0.14508390210123057,train
113,0.5,1,"(-8.724380630861145, -1.5208459405062817)",0,-1.5175641478689963,train
114,0.5,1,"(-1.479913342244254, 0.37459473159373413)",1,-0.6146403475088036,train
115,0.5,1,"(7.755197355020186, 1.710443470946422)",1,0.7178991191025224,train
116,0.5,1,"(4.709218923037341, -0.3887168372981847)",0,-0.39822454309093286,train
117,0.5,1,"(-12.770499593888996, 1.5396943920387904)",1,0.5351576671268995,train
118,0.5,1,"(-17.407807636034388, 2.3436232866568782)",1,1.327891627316398,train
119,0.5,1,"(-4.110280387422587, 1.3750223653099325)",1,0.3733479988687153,train
120,0.5,1,"(-0.32219612594546776, -0.20190898119969541)",1,-1.191335919299116,train
121,0.5,1,"(-0.6258274435701374, 2.4922608939339734)",1,1.4681060906453416,train
122,0.5,1,"(12.546651353367198, 1.8768409406785753)",1,0.881136816161542,train
123,0.5,1,"(8.404752588457832, 0.8281104004323984)",1,-0.14957247901615545,train
124,0.5,1,"(-1.3075587543740526, -1.1739192052928558)",0,-1.1764925189566855,train
125,0.5,1,"(-6.836106335984792, 0.6985989374443543)",0,0.7060592038216484,train
126,0.5,1,"(-10.575271311279035, 1.4062255783076836)",1,0.407773243416643,train
127,0.5,1,"(-6.483173266706708, 0.36129136173428217)",0,0.3640525394201556,train
128,0.5,1,"(9.051739521723015, -1.2006827849609216)",0,-1.2010470146473051,train
129,0.5,1,"(8.562162875949658, -0.47456247497219367)",0,-0.48212330116104546,train
130,0.5,1,"(-13.573153220268427, 0.9042562202909437)",1,-0.09431204326688902,train
131,0.5,1,"(10.414084784792458, 2.675477277535433)",1,1.6582163227724371,train
132,0.5,1,"(-0.30039626593979385, -2.257045347368225)",0,-2.2555469601725147,train
133,0.5,1,"(25.244479968922985, -1.2997026480780858)",0,-1.3038747618366644,train
134,0.5,1,"(-10.379965247211985, -0.562978109218897)",0,-0.5628454531921703,train
135,0.5,1,"(5.954275585341929, 0.31454518067387083)",1,-0.6705141578521094,train
136,0.5,1,"(-7.508297834627021, -1.8689824136001352)",0,-1.8583139772301378,train
137,0.5,1,"(17.132616742224585, 0.6985183734571099)",0,0.6921433388946316,train
138,0.5,1,"(4.758047435009781, 1.7143221709285839)",1,0.7137915287391414,train
139,0.5,1,"(7.596469098651324, -0.2693608130008616)",0,-0.27920408457152823,train
140,0.5,1,"(-0.78739411606947, -1.0040573746671841)",1,-1.9937194213723477,train
141,0.5,1,"(-8.708246667125872, 1.8700958926228464)",1,0.8762066623556624,train
142,0.5,1,"(-6.122398819683426, 2.4192673498705686)",1,1.4248872408967967,train
143,0.5,1,"(-3.363654081299419, -0.9185256400724027)",0,-0.911852452904429,train
144,0.5,1,"(7.25079180509904, 2.3203223755437024)",1,1.3233734959587222,train
145,0.5,1,"(18.47573431683082, 1.4460681067496233)",1,0.4454489121694606,train
146,0.5,1,"(-7.334163883064817, 0.44955158860332567)",0,0.4416028860181461,train
147,0.5,1,"(-2.2830398549830635, -0.23325459166222853)",0,-0.21843980130796142,train
148,0.5,1,"(1.9156740339049758, 3.1422684543035584)",1,2.1457503853726,train
149,0.5,1,"(2.9085328559065884, -0.7761266912752749)",0,-0.783701124700972,train
150,0.5,1,"(-12.77910334986097, -1.7114645028966704)",0,-1.71178761785948,train
151,0.5,1,"(-6.637418894489463, 1.3738408624436156)",1,0.37229873676377234,train
152,0.5,1,"(-5.459814893267524, 0.209158529759438)",0,0.21566692375308638,train
153,0.5,1,"(1.9414512569257991, -0.22686157189178943)",0,-0.23368075395385202,train
154,0.5,1,"(-16.487240441868686, -0.5406234522596414)",0,-0.5537658247176628,train
155,0.5,1,"(6.809523868890441, 3.499156248478308)",1,2.5042392652508774,train
156,0.5,1,"(-10.574719339133038, -0.4328045687638546)",0,-0.4440078368634065,train
157,0.5,1,"(1.6355975980313897, 0.8398773174658138)",0,0.8376360443931168,train
158,0.5,1,"(-11.07547829281166, -0.9075995885527068)",0,-0.908291966548322,train
159,0.5,1,"(13.57519206040266, 1.5876247014683826)",1,0.5736744042061512,train
160,0.5,1,"(8.861273912222584, 1.3032984655813986)",1,0.28232774693108087,train
161,0.5,1,"(-5.252338528608675, 4.331719556114549)",1,3.326764287005491,train
162,0.5,1,"(-1.7044547840938924, -0.08867279108675097)",0,-0.09677637227103225,train
163,0.5,1,"(16.21788827489717, 1.7134266304525796)",1,0.7068368282421353,train
164,0.5,1,"(-11.756622077528213, 0.7356122180053896)",0,0.7390147344889257,train
165,0.5,1,"(14.180861674525428, 0.6741768357545942)",0,0.6949730016504401,train
166,0.5,1,"(1.7650726374682755, -0.18642564204854098)",0,-0.17465294298090095,train
167,0.5,1,"(-10.14211044271052, 1.3004619673641904)",0,1.2731048122940103,train
168,0.5,1,"(-5.85898362826308, 1.2726901748302686)",1,0.2577557862075853,train
169,0.5,1,"(12.731583377689198, -2.1019714159437344)",0,-2.101970787888283,train
170,0.5,1,"(21.034644855009756, -1.0758455677650833)",0,-1.0844470918158142,train
171,0.5,1,"(14.824192848076898, -2.2718480849783056)",0,-2.265458905441304,train
172,0.5,1,"(3.405908609480056, 0.059212298150222144)",0,0.06694909243721647,train
173,0.5,1,"(-0.9125599789288568, 0.3917809109843692)",0,0.39024215614828817,train
174,0.5,1,"(-11.748367139805858, 2.289174250875438)",1,1.2774243265484833,train
175,0.5,1,"(-2.7046860768333145, 0.23365954459831959)",0,0.24239256846363788,train
176,0.5,1,"(-17.36713258424565, 0.6363923131314443)",0,0.6338603388019204,train
177,0.5,1,"(2.1599897135873656, 2.137427606116051)",1,1.1386161480125718,train
178,0.5,1,"(-0.674267778928277, 1.7002884317755977)",1,0.7094693885599836,train
179,0.5,1,"(-6.974994975243974, -0.43817759194139755)",0,-0.45179247270304645,train
180,0.5,1,"(14.947833990237477, 2.6032915134331116)",1,1.598707310091806,train
181,0.5,1,"(1.116364289233483, 1.8762163109734058)",1,0.8860057317815633,train
182,0.5,1,"(-0.2893543405773753, -1.1106962386841785)",0,-1.1183899756329434,train
183,0.5,1,"(-0.68357086460419, 1.4372985324692282)",1,0.42869844004636803,train
184,0.5,1,"(5.76948912805792, -0.4413104122836865)",1,-1.4326354407775772,train
185,0.5,1,"(15.51160130819476, 2.2119965298357207)",1,1.2228455886502478,train
186,0.5,1,"(-0.09945662226742336, -2.405265384564121)",0,-2.3948312221090866,train
187,0.5,1,"(26.142555531963175, -0.3572984744894502)",1,-1.3656818908451895,train
188,0.5,1,"(-7.114575953788214, 2.8829554786651888)",1,1.880120202364805,train
189,0.5,1,"(3.35589455947912, 0.023737374434338966)",1,-0.9666325346606222,train
190,0.5,1,"(3.6865314174116035, -1.310369971147277)",0,-1.297665500812577,train
191,0.5,1,"(-2.240103603279782, 0.91589255031689)",0,0.9182594326347362,train
192,0.5,1,"(4.942355232055656, 1.9509105361893793)",1,0.9424888678564143,train
193,0.5,1,"(3.8677917094664442, -0.2381822731058416)",0,-0.24542433041563594,train
194,0.5,1,"(-11.566117010779141, 0.0942175348085155)",0,0.08926270114656387,train
195,0.5,1,"(1.9044408793965726, 0.05840815377417616)",0,0.050048283394451665,train
196,0.5,1,"(-4.631686727835273, 2.3365176794927223)",1,1.3315472923038265,train
197,0.5,1,"(13.711431779571418, 1.0783565112100313)",1,0.09348295278580365,train
198,0.5,1,"(-3.0246064445391436, -0.242172780966592)",0,-0.22305824702869964,train
199,0.5,1,"(-6.6027603483066235, 1.7309159390032012)",1,0.7252378120088615,train
200,0.5,1,"(-3.9191184826007683, 0.22426304713986506)",0,0.2252086524684237,train
201,0.5,1,"(1.660807085031986, -1.0285091249010323)",0,-1.0283403825638704,train
202,0.5,1,"(-6.599264878407029, 1.677269601396397)",1,0.6867198058788141,train
203,0.5,1,"(-7.199086254140423, -0.5091992281474892)",0,-0.5066257169526299,train
204,0.5,1,"(2.1962129256068073, -0.613984497260259)",0,-0.613532191738288,train
205,0.5,1,"(-11.720462158891127, 1.4447063880295585)",1,0.4586935019134335,train
206,0.5,1,"(15.354856644553937, -2.4116644085084737)",0,-2.401602083554386,train
207,0.5,1,"(-13.459133742288515, 2.7853716088121265)",1,1.786261998935231,train
208,0.5,1,"(-3.71238520309655, -0.5691197235181606)",0,-0.5706049715855356,train
209,0.5,1,"(-18.322712418112797, 2.0739147438611845)",1,1.0800818459359691,train
210,0.5,1,"(8.859163364587642, 0.6500673287417498)",0,0.6685642810856671,train
211,0.5,1,"(0.7587509052727304, 1.1804041601850352)",1,0.18437752648389494,train
212,0.5,1,"(-4.69234199915549, 0.06518585356098287)",1,-0.9351409531559232,train
213,0.5,1,"(-10.387357836958616, -0.5646615748123341)",0,-0.5663222938583221,train
214,0.5,1,"(24.763034192248274, 2.298367729502151)",1,1.3093481183396602,train
215,0.5,1,"(22.848300859801444, -0.4906556660000642)",0,-0.49145159530546545,train
216,0.5,1,"(7.50820554103092, 2.6184172775836485)",1,1.6023101946760863,train
217,0.5,1,"(-10.7584665179841, 0.15622828238176664)",0,0.16941229791222812,train
218,0.5,1,"(0.5391585676810746, 0.13292939546815394)",1,-0.8663314090444576,train
219,0.5,1,"(12.512412491322715, 3.3514913022224952)",1,2.367514322643838,train
220,0.5,1,"(-11.69241669303134, 3.0026491030167466)",1,2.0124096611876787,train
221,0.5,1,"(-10.467731658410631, -0.4615698055818405)",0,-0.46449309276479694,train
222,0.5,1,"(9.563986610459448, 0.8542069940972726)",1,-0.1436873375413671,train
223,0.5,1,"(-5.960647596240315, 1.4820009214660965)",1,0.475450270412921,train
224,0.5,1,"(21.418257605271958, 1.1456023697398228)",1,0.1566161942943879,train
225,0.5,1,"(19.40789264427589, -1.137043635265784)",0,-1.1363246119921029,train
226,0.5,1,"(-10.940122579297883, 1.1916672855460606)",1,0.19668812633672655,train
227,0.5,1,"(-13.436908928702072, -0.9381816425392044)",0,-0.9554486449345453,train
228,0.5,1,"(6.272336849563037, 0.6048022480105908)",1,-0.3973556251331545,train
229,0.5,1,"(-22.829134940350535, 1.3724069807590276)",1,0.38687399204593304,train
230,0.5,1,"(0.5831657389807765, 0.5671783580478058)",0,0.5743661222643264,train
231,0.5,1,"(-13.710138934298314, 1.9267451119691341)",0,1.9037141778059317,train
232,0.5,1,"(-4.116167224613406, 2.622418412388197)",1,1.622554215163279,train
233,0.5,1,"(-4.810761375624042, 1.3635608969002284)",0,1.3738148166340844,train
234,0.5,1,"(8.9397979475085, 0.6618219712494012)",1,-0.3530489277944493,train
235,0.5,1,"(13.582990583703543, 1.8076631700937438)",1,0.8093361668219992,train
236,0.5,1,"(6.16068987250782, 0.7288444657116063)",1,-0.26648085281241574,train
237,0.5,1,"(-10.730155126946599, 1.4462311967931663)",1,0.4773578223116963,train
238,0.5,1,"(-1.380335013499296, -0.2450996059231011)",0,-0.2379745107540132,train
239,0.5,1,"(1.421189704328782, -0.42542603816753455)",0,-0.4297326295681585,train
240,0.5,1,"(-2.2813407247900788, 1.0771252537145315)",1,0.09041069423744963,train
241,0.5,1,"(-0.5370163873058353, 1.401561404391027)",1,0.39788269407521154,train
242,0.5,1,"(-7.271367369549202, -1.0890289623354645)",0,-1.089379321510938,train
243,0.5,1,"(-2.210240445324002, 2.827109288536314)",1,1.83101356499331,train
244,0.5,1,"(-0.15483478391651626, 2.2051488527199794)",1,1.2012898551290658,train
245,0.5,1,"(-3.341331375485803, -0.1571572471313186)",0,-0.15554130921781456,train
246,0.5,1,"(11.836540831590707, 3.4489049189617105)",1,2.4376061758201333,train
247,0.5,1,"(7.2561510812415415, 1.5562774489839388)",1,0.5561372533762228,train
248,0.5,1,"(6.119914682966879, 0.3451462178988464)",1,-0.6696736024552405,train
249,0.5,1,"(0.18359788222713935, 0.6131276709657877)",1,-0.39649810381291684,train
250,0.5,1,"(-12.146497672696112, 0.21419779878416154)",0,0.21752837382252665,train
251,0.5,1,"(19.924519037708976, 0.30256845872660704)",1,-0.7036782465676674,train
252,0.5,1,"(4.084533779368882, 0.19265575653446432)",0,0.20429757643234403,train
253,0.5,1,"(-10.975278295498892, 0.5166150541597361)",1,-0.4766856908445505,train
254,0.5,1,"(9.572300669492233, 1.1719061295729176)",1,0.1743223801927471,train
255,0.5,1,"(10.909469128965839, 0.29952346591291307)",0,0.31152091299772144,train
256,0.5,1,"(6.530850396334615, 0.9943912335731061)",1,-0.007654585477097631,train
257,0.5,1,"(6.696453506446183, 0.31015272470071037)",0,0.30321988231302965,train
258,0.5,1,"(0.9919327340185962, 1.323226165983051)",1,0.3153443442424971,train
259,0.5,1,"(-9.714529944339542, -0.5334743849872796)",0,-0.5364395885337373,train
260,0.5,1,"(-8.144165447972268, -0.253147342473789)",0,-0.24221755558759928,train
261,0.5,1,"(9.555852528328158, 1.006835714572662)",1,0.012211200873424144,train
262,0.5,1,"(-1.9993869592871178, -1.8944628921387219)",0,-1.885581111711424,train
263,0.5,1,"(1.977393832632498, 0.4917599105622108)",1,-0.5056035097121934,train
264,0.5,1,"(-5.62884775326317, 0.17808424446160637)",0,0.18260833321663306,train
265,0.5,1,"(-1.364507796277672, -1.15632473709561)",0,-1.158970986096056,train
266,0.5,1,"(-10.13341337128813, -1.4225621210012844)",0,-1.4191382189681878,train
267,0.5,1,"(3.41660636367306, -0.17761370679200675)",0,-0.17636083820536086,train
268,0.5,1,"(-1.8769338694519508, -0.23670889785870664)",0,-0.2589112242972396,train
269,0.5,1,"(12.356292084946247, 1.7203192775725977)",1,0.707821089596158,train
270,0.5,1,"(-1.6461327037759785, 0.8748945281714021)",1,-0.11227333073549817,train
271,0.5,1,"(-4.496221745106169, -0.3477082782444443)",0,-0.3499759234472424,train
272,0.5,1,"(-5.848140566727254, 1.0297629017248011)",1,0.021220171574803215,train
273,0.5,1,"(-0.49418796657513236, -0.30289377473274576)",0,-0.29684077815458826,train
274,0.5,1,"(4.00617230740184, 2.4453216670330864)",1,1.4508919877188706,train
275,0.5,1,"(-7.498883294520211, -0.1239127133997627)",0,-0.139035307822227,train
276,0.5,1,"(20.304787573319445, 1.527692909087832)",1,0.49631911698173453,train
277,0.5,1,"(0.6841007865732736, 1.605152688088009)",1,0.5898369140502782,train
278,0.5,1,"(3.2732726518392954, -0.18431939661199082)",0,-0.17965683384222186,train
279,0.5,1,"(3.640765043546454, 1.4801571183373676)",1,0.4915386321749088,train
280,0.5,1,"(20.068287448761236, 3.6325008798485356)",1,2.6315738463754657,train
281,0.5,1,"(-11.749852053287048, 2.937648688616328)",1,1.9566449406880024,train
282,0.5,1,"(-2.291278094632276, -0.1687879524395189)",0,-0.16554062416219495,train
283,0.5,1,"(22.075077694508224, 0.7056788148786934)",1,-0.30437856437591493,train
284,0.5,1,"(-15.724190187507494, 2.7221574977815437)",1,1.7236569895396616,train
285,0.5,1,"(3.3899815746477806, -2.0970113189470787)",0,-2.085350852641625,train
286,0.5,1,"(9.574679597903787, 0.0730349934861603)",1,-0.9284216667874088,train
287,0.5,1,"(9.352683076408017, 1.2882033089221383)",1,0.2856523793408937,train
288,0.5,1,"(-5.287739218172465, -0.6589483624681213)",0,-0.6656183406790412,train
289,0.5,1,"(-4.994203482823932, 1.375436768808654)",0,1.387725968131895,train
290,0.5,1,"(0.11234371864714682, 1.4894117380745886)",1,0.4905252855667955,train
291,0.5,1,"(0.21251811163400003, -0.895343058313756)",0,-0.8940433609791165,train
292,0.5,1,"(-6.212730192063558, -1.4474998618838493)",0,-1.4578245561276306,train
293,0.5,1,"(-4.750800713279899, 2.433563541250143)",1,1.4267289406120827,train
294,0.5,1,"(-0.8662624085493131, 2.51116689795671)",1,1.5069252075746606,train
295,0.5,1,"(-2.979045293321318, 1.5852084381445932)",1,0.5844558969248531,train
296,0.5,1,"(-3.320266519677919, -0.48161114197109806)",1,-1.4889898431531141,train
297,0.5,1,"(-4.537552351377675, 0.2530946809755704)",0,0.24854570094615946,train
298,0.5,1,"(-0.46743293810952946, 0.5226920874984425)",0,0.514002776260668,train
299,0.5,1,"(-13.799009299013544, -1.281050109553398)",0,-1.2913705950337127,train
300,0.5,1,"(-0.17843443691832928, 0.2790133706631353)",1,-0.7102698387016249,train
301,0.5,1,"(-13.865577476291577, -0.14343505289190264)",0,-0.14647574877478253,train
302,0.5,1,"(-8.125893879899655, 3.9801890958007777)",1,2.9809518521888614,train
303,0.5,1,"(2.9585769119663103, 0.047286083690490144)",1,-0.9438487732179119,train
304,0.5,1,"(-25.476705356026812, -0.5135341875312043)",0,-0.5058931941443567,train
305,0.5,1,"(3.515691244928849, 0.06196442261961712)",1,-0.9428049525896072,train
306,0.5,1,"(-5.140650391839818, 1.6541639050191794)",1,0.6517385780133357,train
307,0.5,1,"(12.605101014622804, -1.1185616360563304)",0,-1.1115224149529523,train
308,0.5,1,"(1.3606652072181138, 1.4230322437028324)",1,0.4231356792925278,train
309,0.5,1,"(0.461812102897345, 1.727068895853089)",1,0.7261324807025513,train
310,0.5,1,"(8.657675665072786, -0.4434325738297016)",0,-0.4398031242210711,train
311,0.5,1,"(-2.6099222395575414, 0.17454137178679205)",0,0.179172501765827,train
312,0.5,1,"(2.7825765438041783, -0.668909658815894)",0,-0.6708820202859976,train
313,0.5,1,"(-5.225596124834318, -1.1394221594427019)",0,-1.1422284350028664,train
314,0.5,1,"(-9.474622609217697, 0.9600812771513757)",1,-0.03343968088142868,train
315,0.5,1,"(-11.916191844811674, 0.9112287744077698)",1,-0.07849887686526691,train
316,0.5,1,"(-11.450506565668361, -1.1091224451843917)",0,-1.1140384620416035,train
317,0.5,1,"(-13.394811290438394, -0.03568405235354701)",1,-1.0646286366484954,train
318,0.5,1,"(-7.7294157529615495, 0.7684723346336163)",1,-0.23142368697924887,train
319,0.5,1,"(-8.03067361831672, 0.10809883573012563)",0,0.08740122213125168,train
320,0.5,1,"(6.990121342232961, -0.31956118021439445)",0,-0.3241004140657614,train
321,0.5,1,"(8.880638208642608, -0.4646104980524782)",1,-1.4690000673653507,train
322,0.5,1,"(1.112209537552663, 2.28233470040239)",1,1.2954586392189524,train
323,0.5,1,"(10.724071076321689, 2.0425441956863715)",1,1.0372221732487583,train
324,0.5,1,"(12.103066486446066, -0.7314282436069248)",0,-0.7315577701556641,train
